127.0.0.1 - - [31/Oct/2018:13:50:09 -0400] "GET / HTTP/1.1" 404 951
0:0:0:0:0:0:0:1%0 - - [31/Oct/2018:13:50:11 -0400] "GET /mie350webapp/ HTTP/1.1" 200 4466
0:0:0:0:0:0:0:1%0 - - [31/Oct/2018:13:50:11 -0400] "GET /mie350webapp/css/mystyle.css HTTP/1.1" 200 702
0:0:0:0:0:0:0:1%0 - - [31/Oct/2018:13:51:36 -0400] "GET /mie350webapp/ HTTP/1.1" 200 4466
0:0:0:0:0:0:0:1%0 - - [31/Oct/2018:13:51:37 -0400] "GET /mie350webapp/css/mystyle.css HTTP/1.1" 200 702
0:0:0:0:0:0:0:1%0 - - [31/Oct/2018:13:51:37 -0400] "GET /favicon.ico HTTP/1.1" 404 973
0:0:0:0:0:0:0:1%0 - - [31/Oct/2018:15:22:27 -0400] "GET /mie350webapp/ HTTP/1.1" 200 4466
0:0:0:0:0:0:0:1%0 - - [31/Oct/2018:15:22:35 -0400] "GET /mie350webapp/ HTTP/1.1" 200 4466
0:0:0:0:0:0:0:1%0 - - [31/Oct/2018:15:22:56 -0400] "GET /mie350webapp/index.jsp HTTP/1.1" 200 4466
0:0:0:0:0:0:0:1%0 - - [31/Oct/2018:15:22:58 -0400] "GET /mie350webapp/about.jsp HTTP/1.1" 200 5061
0:0:0:0:0:0:0:1%0 - - [31/Oct/2018:15:22:58 -0400] "GET /mie350webapp/img/mie350_webapp_schematic.jpg HTTP/1.1" 200 43553
0:0:0:0:0:0:0:1%0 - - [31/Oct/2018:15:23:13 -0400] "GET /mie350webapp/StudentController?action=listStudent HTTP/1.1" 500 1431
0:0:0:0:0:0:0:1%0 - - [31/Oct/2018:15:23:21 -0400] "GET /mie350webapp/searchStudent.jsp HTTP/1.1" 200 3931
0:0:0:0:0:0:0:1%0 - - [31/Oct/2018:15:23:29 -0400] "POST /mie350webapp/SearchController HTTP/1.1" 500 1436
0:0:0:0:0:0:0:1%0 - - [31/Oct/2018:15:23:33 -0400] "GET /mie350webapp/sample_html.jsp HTTP/1.1" 200 4992
0:0:0:0:0:0:0:1%0 - - [31/Oct/2018:15:23:59 -0400] "GET /mie350webapp/helpful_links.jsp HTTP/1.1" 200 6616
0:0:0:0:0:0:0:1%0 - - [31/Oct/2018:18:46:47 -0400] "GET /mie350webapp/ HTTP/1.1" 200 4466
0:0:0:0:0:0:0:1%0 - - [31/Oct/2018:18:46:53 -0400] "GET /mie350webapp/ HTTP/1.1" 200 4466
0:0:0:0:0:0:0:1%0 - - [31/Oct/2018:18:46:56 -0400] "GET /mie350webapp/StudentController?action=listStudent HTTP/1.1" 500 1431
0:0:0:0:0:0:0:1%0 - - [31/Oct/2018:18:47:04 -0400] "GET /mie350webapp/searchStudent.jsp HTTP/1.1" 200 3931
0:0:0:0:0:0:0:1%0 - - [31/Oct/2018:18:47:07 -0400] "POST /mie350webapp/SearchController HTTP/1.1" 500 1436
0:0:0:0:0:0:0:1%0 - - [31/Oct/2018:18:47:10 -0400] "GET /mie350webapp/helpful_links.jsp HTTP/1.1" 200 6616
0:0:0:0:0:0:0:1%0 - - [31/Oct/2018:18:47:12 -0400] "GET /mie350webapp/index.jsp HTTP/1.1" 200 4466
